StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q3_4_TEXT,Q5,Q6,Q8,Q10,Q11,Q12,Q13,Q14,Q15,Q16_1,Q17
2023-04-18 17:05:56,2023-04-18 17:07:17,IP Address,172.58.254.148,100,81,True,2023-04-18 17:07:18,R_2WCln4fOQR7d15p,,,,,35.21,-80.8512,anonymous,EN,I consent to taking the survey,Male,,Independent,Closer to the Democratic Party,,Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Barbara A. Mikulski,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-18 17:17:57,2023-04-18 17:18:59,IP Address,98.26.20.153,100,61,True,2023-04-18 17:18:59,R_2BfeVOgag7uQfXE,,,,,35.9151,-79.0972,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Barbara A. Mikulski,I gave my best guess without looking it up,21,I gave my best guess without looking it up
2023-04-18 17:48:50,2023-04-18 17:50:22,IP Address,152.23.129.133,100,91,True,2023-04-18 17:50:23,R_3IWujvBUHoUUEie,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Not Very Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Barbara A. Mikulski,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-18 17:50:12,2023-04-18 17:51:33,IP Address,152.23.74.58,100,80,True,2023-04-18 17:51:33,R_2dijT9u60xfGgLK,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New York,Barbara A. Mikulski,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-18 18:07:57,2023-04-18 18:09:50,IP Address,206.74.26.141,100,112,True,2023-04-18 18:09:51,R_28GtkWKS2fiBNEz,,,,,35.9717,-79.9955,anonymous,EN,I consent to taking the survey,Female,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Jeannette Rankin,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-18 19:35:30,2023-04-18 19:36:24,IP Address,152.23.46.195,100,54,True,2023-04-18 19:36:24,R_1ILEAyBULcE4FqH,,,,,35.9145,-78.9225,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,21,I gave my best guess without looking it up
2023-04-18 19:35:09,2023-04-18 19:36:43,IP Address,152.23.235.209,100,94,True,2023-04-18 19:36:44,R_2y2ubEykpwGTVaq,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-18 19:34:58,2023-04-18 19:36:44,IP Address,152.23.6.5,100,106,True,2023-04-18 19:36:44,R_3M57oImIWEMZUi0,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Paul Ryan,California,Jeannette Rankin,I gave my best guess without looking it up,15,I gave my best guess without looking it up
2023-04-18 19:34:54,2023-04-18 19:36:45,IP Address,172.59.223.75,100,110,True,2023-04-18 19:36:45,R_NX9M3kqGAPReE9P,,,,,35.2227,-80.7938,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Barbara A. Mikulski,I gave my best guess without looking it up,21,I gave my best guess without looking it up
2023-04-18 19:34:37,2023-04-18 19:36:46,IP Address,152.23.93.76,100,129,True,2023-04-18 19:36:47,R_2czmP6Py9LhfnFT,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,25,I gave my best guess without looking it up
2023-04-18 19:35:52,2023-04-18 19:37:30,IP Address,172.59.223.75,100,98,True,2023-04-18 19:37:31,R_ANy6nBpb13xugbn,,,,,35.2227,-80.7938,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,23,I gave my best guess without looking it up
2023-04-18 19:36:07,2023-04-18 19:38:12,IP Address,152.23.118.68,100,125,True,2023-04-18 19:38:12,R_3ixW8u1PWSjh8t0,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Jeannette Rankin,I gave my best guess without looking it up,32,I gave my best guess without looking it up
2023-04-18 19:39:35,2023-04-18 19:40:57,IP Address,152.23.106.131,100,81,True,2023-04-18 19:40:57,R_2Cqx3BWB3nkCYPq,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Independent,Closer to the Democratic Party,,Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Paula Hawkins,I gave my best guess without looking it up,38,I gave my best guess without looking it up
2023-04-18 19:48:43,2023-04-18 19:50:16,IP Address,174.108.228.163,100,92,True,2023-04-18 19:50:16,R_1DJ9GsEhf4KCcc2,,,,,36.0406,-80.26,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,Illinois,Dianne Feinstein,I gave my best guess without looking it up,38,I gave my best guess without looking it up
2023-04-18 19:56:59,2023-04-18 19:58:39,IP Address,52.124.33.241,100,99,True,2023-04-18 19:58:39,R_3kvMpBt95zmbUg7,,,,,38.4475,-78.8693,anonymous,EN,I consent to taking the survey,Male,,Independent,I am not closer to either party,,Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,,I gave my best guess without looking it up,29,I gave my best guess without looking it up
2023-04-18 20:00:54,2023-04-18 20:02:24,IP Address,152.23.2.187,100,90,True,2023-04-18 20:02:25,R_1FKVNqYbldb3aC2,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,42,I gave my best guess without looking it up
2023-04-18 20:01:06,2023-04-18 20:02:26,IP Address,172.59.218.241,100,79,True,2023-04-18 20:02:26,R_2chAAR9p19LVp7n,,,,,35.2522,-80.8263,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-18 20:13:20,2023-04-18 20:15:07,IP Address,74.219.18.3,100,107,True,2023-04-18 20:15:07,R_1F2qu9Uk9hmXZbi,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New Jersey,Jeannette Rankin,I gave my best guess without looking it up,9,I gave my best guess without looking it up
2023-04-18 20:16:22,2023-04-18 20:17:20,IP Address,152.23.192.231,100,57,True,2023-04-18 20:17:21,R_2R4fkj2Frhu3zgK,,,,,35.8047,-78.8881,anonymous,EN,I consent to taking the survey,Female,,Independent,Closer to the Democratic Party,,Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Jeannette Rankin,I gave my best guess without looking it up,18,I gave my best guess without looking it up
2023-04-18 20:19:20,2023-04-18 20:20:16,IP Address,152.23.69.104,100,55,True,2023-04-18 20:20:16,R_1mxECr33H0JhRmk,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Barbara A. Mikulski,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-18 20:52:13,2023-04-18 20:54:35,IP Address,70.130.77.86,100,142,True,2023-04-18 20:54:35,R_2TXmYV0BWU8N04u,,,,,35.9182,-79.0035,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Paula Hawkins,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-18 21:51:30,2023-04-18 21:53:00,IP Address,152.23.124.208,100,89,True,2023-04-18 21:53:01,R_31HKzFEglaPIIjK,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New York,Jeannette Rankin,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-18 22:06:47,2023-04-18 22:07:37,IP Address,152.23.142.107,100,50,True,2023-04-18 22:07:38,R_11ciUf6XCWojnfl,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Barbara A. Mikulski,I gave my best guess without looking it up,7,I gave my best guess without looking it up
2023-04-18 23:39:20,2023-04-18 23:43:47,IP Address,152.23.226.1,100,267,True,2023-04-18 23:43:48,R_1kSLw3YjYWsbzmz,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Don't know/Other,Closer to the Democratic Party,,Not Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New Jersey,Barbara A. Mikulski,I gave my best guess without looking it up,32,I gave my best guess without looking it up
2023-04-18 23:52:58,2023-04-18 23:56:02,IP Address,104.28.32.178,100,183,True,2023-04-18 23:56:03,R_xisTM3mqjeyLTFf,,,,,35.9935,-78.9032,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-19 08:05:41,2023-04-19 08:06:46,IP Address,107.77.233.137,100,64,True,2023-04-19 08:06:46,R_Ol4tyrAU94qh26J,,,,,33.7485,-84.3871,anonymous,EN,I consent to taking the survey,Female,,Independent,Closer to the Democratic Party,,Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Jeannette Rankin,I gave my best guess without looking it up,26,I gave my best guess without looking it up
2023-04-19 08:53:58,2023-04-19 08:56:13,IP Address,152.23.155.159,100,134,True,2023-04-19 08:56:13,R_33dwkKSXg0Btsm7,,,,,36.0958,-79.2743,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New York,Jeannette Rankin,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-18 21:13:01,2023-04-19 10:15:04,IP Address,152.23.229.115,100,46923,True,2023-04-19 10:15:05,R_3dRmzN0zW7Lf9wD,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Unaware,I promise to try my best without looking up any answers.,Kevin McCarthy,New Jersey,Dianne Feinstein,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-19 10:35:09,2023-04-19 10:37:04,IP Address,152.23.154.114,100,114,True,2023-04-19 10:37:04,R_3Lb8MMobaybTBwi,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,34,I gave my best guess without looking it up
2023-04-19 10:42:07,2023-04-19 10:44:21,IP Address,152.7.255.228,100,134,True,2023-04-19 10:44:22,R_2OGsM4kSwaKco7f,,,,,35.797,-78.6865,anonymous,EN,I consent to taking the survey,Female,,Republican,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,34,I gave my best guess without looking it up
2023-04-19 10:56:32,2023-04-19 10:58:37,IP Address,152.23.15.19,100,124,True,2023-04-19 10:58:38,R_3jd3mqyY8Zg9red,,,,,35.9151,-79.0972,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New Jersey,Dianne Feinstein,I gave my best guess without looking it up,35,I gave my best guess without looking it up
2023-04-19 11:07:55,2023-04-19 11:09:23,IP Address,152.23.81.100,100,87,True,2023-04-19 11:09:24,R_YbOPITz4qLWx9cZ,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,24,I gave my best guess without looking it up
2023-04-19 11:10:05,2023-04-19 11:11:09,IP Address,152.23.215.188,100,63,True,2023-04-19 11:11:09,R_1r8KIBp0uUuXcOh,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Barbara A. Mikulski,I gave my best guess without looking it up,34,I gave my best guess without looking it up
2023-04-19 11:12:10,2023-04-19 11:13:02,IP Address,152.23.103.126,100,52,True,2023-04-19 11:13:03,R_2w6vxFrvgoQLSSk,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Independent,Closer to the Democratic Party,,Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,42,I gave my best guess without looking it up
2023-04-19 11:15:43,2023-04-19 11:17:24,IP Address,172.59.104.1,100,101,True,2023-04-19 11:17:24,R_4MByhBGFgSpLl9D,,,,,29.9632,-90.0753,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Barbara A. Mikulski,I gave my best guess without looking it up,37,I gave my best guess without looking it up
2023-04-19 11:31:33,2023-04-19 11:36:46,IP Address,45.37.108.212,100,313,True,2023-04-19 11:36:47,R_vNtZH34w08h4YQ9,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Male,,Independent,I am not closer to either party,,Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,22,I gave my best guess without looking it up
